challenge_id,flag
33,SiberVatan{David_M3rc1m3k_Severdi}
20,SiberVatan{TC-NBF}
flag,SiberVatan{0s1nt_ust4s1_s1fr3_k1r1y0r}
32,SiberVatan{Büyülü_H4rfler_37}
22,SiberVatan{osint_icin_oku}
kitap,SiberVatan{detayli_tarama}
stokdefter,SiberVatan{st0kl4r_d0lu_ust4m}
zaman?n,SiberVatan{siber_vatani_biz_koruyacagiz}
gurultu,SiberVatan{bir_cay_molasini_hak_ettik}
maas,SiberVatan{bu_n3_b0yl3_st3g_m1_pc4p_m1}
27,SiberVatan{b1t1rd1n_b1z1_1d0r}
samanlik,SiberVatan{isimiz_siber_gucumuz_teknoloji}
muhendisin,SiberVatan{hata_ayiklama_ustasi}
kule,SiberVatan{kuleizinverdiucuyoruz}
kayipkilavuz,SiberVatan{lfi_0lm4s4_n3_y4p4rd1k}
rockyou,SiberVatan{turkishpower}
volkan,SiberVatan{GIZLI_MESAJ}
secretqr,SiberVatan{You_F1nd_S3cr3t_Sc4n}
kucuk,SiberVatan{FRANCISBEYNEYAPTINIZ}
R3g3x,SiberVatan{R3g3x_C0nf!rm3d}
sec,SiberVatan{Steinel}
Embedded,SiberVatan{Elektronik_?stihbarat}
